,ZONE CHART,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,
2,,,,,,,,,
3,For shipments originating in ZIP Codes 464-01 to 464-99. To determine zone,,,,,,,,
4,take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,
5,,,,,,,,,
6,ZONES,,,,,,,,
7,Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
514,538,003,303,203,243,133,103,,
515,539,002,302,202,242,132,102,,
516,540,004,304,204,244,134,104,,
517,541,003,303,203,243,133,103,,
518,542,003,303,203,243,133,103,,
519,543,003,303,203,243,133,103,,
520,544,003,303,203,243,133,103,,
521,545,003,303,203,243,133,103,,
522,546,003,303,203,243,133,103,,
523,547,003,303,203,243,133,103,,
524,548,004,304,204,244,134,104,,
525,549,003,303,203,243,133,103,,
526,550,004,304,204,244,134,104,,
527,551,004,304,204,244,134,104,,
528,553,004,304,204,244,134,104,,
529,554,004,304,204,244,134,104,,
530,555,004,304,204,244,134,104,,
531,556,004,304,204,244,134,104,,
532,557,004,304,204,244,134,104,,
533,558,004,304,204,244,134,104,,
534,559,003,303,203,243,133,103,,
535,560,004,304,204,244,134,104,,
536,561,004,304,204,244,134,104,,
537,562,004,304,204,244,134,104,,
538,563,004,304,204,244,134,104,,
539,564,004,304,204,244,134,104,,
540,565,004,304,204,244,134,104,,
541,566,004,304,204,244,134,104,,
542,567,005,305,205,245,135,105,,
543,570,004,304,204,244,134,104,,
544,571,004,304,204,244,134,104,,
545,572,004,304,204,244,134,104,,
546,573,004,304,204,244,134,104,,
547,574,004,304,204,244,134,104,,
548,575,005,305,205,245,135,105,,
549,576,005,305,205,245,135,105,,
550,577,005,305,205,245,135,105,,
551,580,004,304,204,244,134,104,,
552,581,004,304,204,244,134,104,,
553,582,005,305,205,245,135,105,,
554,583,005,305,205,245,135,105,,
555,584,005,305,205,245,135,105,,
556,585,005,305,205,245,135,105,,
557,586,005,305,205,245,135,105,,
558,587,005,305,205,245,135,105,,
559,588,005,305,205,245,135,105,,
560,590,006,306,206,246,136,106,,
561,591,006,306,206,246,136,106,,
562,592,005,305,205,245,135,105,,
563,593,005,305,205,245,135,105,,
564,594,006,306,206,246,136,106,,
565,595,006,306,206,246,136,106,,
566,596,006,306,206,246,136,106,,
567,597,006,306,206,246,136,106,,
568,598,006,306,206,246,136,106,,
569,599,006,306,206,246,136,106,,
570,600,002,302,202,242,132,102,,
571,601,002,302,202,242,132,102,,
572,602,002,302,202,242,132,102,,
573,603,002,302,202,242,132,102,,
574,604,002,302,202,242,132,102,,
575,605,002,302,202,242,132,102,,
576,606,002,302,202,242,132,102,,
577,607,002,302,202,242,132,102,,
578,608,002,302,202,242,132,102,,
579,609,002,302,202,242,132,102,,
580,610,002,302,202,242,132,102,,
581,611,002,302,202,242,132,102,,
582,612,003,303,203,243,133,103,,
583,613,002,302,202,242,132,102,,
584,614,003,303,203,243,133,103,,
585,615,002,302,202,242,132,102,,
586,616,002,302,202,242,132,102,,
587,617,002,302,202,242,132,102,,
588,618,002,302,202,242,132,102,,
589,619,002,302,202,242,132,102,,
590,620,003,303,203,243,133,103,,
591,622,003,303,203,243,133,103,,
592,623,003,303,203,243,133,103,,
593,624,003,303,203,243,133,103,,
594,625,003,303,203,243,133,103,,
595,626,003,303,203,243,133,103,,
596,627,003,303,203,243,133,103,,
597,628,003,303,203,243,133,103,,
598,629,003,303,203,243,133,103,,
599,630,003,303,203,243,133,103,,
600,631,003,303,203,243,133,103,,
601,633,003,303,203,243,133,103,,
602,634,003,303,203,243,133,103,,
